X,Y
-7.503419259,A
12.86583983,A
-11.13012484,A
8.789039857,A
2.982611023,A
17.95260113,A
15.07443473,A
18.06091265,A
9.250761149,A
-4.226104696,A
-1.900726446,A
-2.369688906,A
15.35550983,A
-7.864944988,A
25.35023827,A
2.823343691,A
4.573181704,A
-3.224698912,A
15.26865415,A
-10.99971392,A
-22.48063575,A
10.17332127,A
-4.455110621,A
-8.728922263,A
-13.34069997,A
1.982244006,A
-7.679444851,A
-2.597785721,A
-15.18677839,A
16.15322929,A
-0.885168922,A
-8.180820856,A
-4.29914977,A
-19.42718385,A
-6.708655836,A
-20.66634642,A
-4.78429678,A
-8.16958867,A
-3.614989398,A
2.222076576,A
-2.782304079,A
21.07417201,A
14.95105922,A
-6.922580359,A
-0.176269593,A
4.156267858,A
4.639067572,A
18.48739597,A
-17.71922504,A
-5.318324796,A
20.767193,A
5.432110804,A
7.641735124,A
10.32497005,A
4.810046722,A
-16.15014026,A
19.42386059,A
11.36456187,A
9.906364391,A
2.884372808,A
9.651129449,A
-1.593020992,A
-15.81482082,A
-2.446980349,A
-4.803128092,A
17.96741317,A
-7.078218516,A
-5.47234409,A
4.150737425,A
-10.81143496,A
21.04976827,A
10.09287031,A
23.60692125,A
22.09317595,A
4.224722828,A
2.33791254,A
11.33676538,A
-3.364293686,A
13.34947958,A
-7.764454631,A
4.375919821,A
-15.64854771,A
-1.799621135,A
7.081933689,A
-16.74483998,A
8.582401935,A
-18.13311144,A
18.20050757,A
-4.814197461,A
2.195854126,A
-2.434188304,A
1.647762966,A
-4.097684107,A
-4.185867185,A
8.596051011,A
0.64202309,A
-4.675015556,A
-1.836146856,A
-3.940237222,A
13.13925482,A
-31.31605966,A
-5.765604943,A
0.736272368,A
-3.084672998,A
15.43115591,A
-15.2917131,A
-2.949644286,A
-9.441307208,A
-7.788731011,A
-1.952632443,A
20.43403291,A
-4.07435954,A
9.080871307,A
-9.750006477,A
-3.630139218,A
3.456784081,A
2.496578068,A
2.815782537,A
6.703853221,A
-7.869329644,A
18.33025312,A
-0.869186422,A
-0.088897868,A
-4.034690071,A
-0.540850896,A
6.818627324,A
-10.64497703,A
12.1764121,A
8.554789762,A
-10.74893833,A
6.021583083,A
10.8764185,A
-3.800339962,A
-2.307416404,A
8.979118188,A
-4.570174023,A
-2.172041641,A
3.506728652,A
-5.493710638,A
-4.96059762,A
21.30601307,A
9.108769407,A
3.204623099,A
-1.797284899,A
9.27729802,A
-4.120662423,A
-1.342026574,A
13.78981506,A
-10.78190669,A
19.60726969,A
-6.065005277,A
-3.754565306,A
9.501842604,A
6.713525453,A
-25.59813336,A
-14.34076256,A
-15.38975628,A
-2.03410207,A
-2.667923215,A
6.300272995,A
0.708902638,A
-7.696902351,A
3.054913642,A
2.623042892,A
2.250269998,A
0.800709692,A
-10.62688464,A
5.819292278,A
16.84748972,A
-4.233441869,A
-7.234201447,A
-1.949302757,A
-10.50367418,A
4.304655151,A
9.685679027,A
0.734507701,A
-3.965222293,A
3.737655966,A
4.113193179,A
15.3419509,A
-1.241631432,A
-6.556435568,A
3.028057094,A
13.25506971,A
-2.459112524,A
10.53008076,A
15.61119109,A
2.594023993,A
6.992743161,A
-7.824264418,A
-6.23970271,A
0.02200832,A
3.732417776,A
-8.585087442,A
0.044698219,A
-9.289351141,A
2.53793896,A
-12.2241964,A
-21.89257808,A
-0.737105728,A
-3.445523676,A
16.19705134,A
-8.351023148,A
-2.654482719,A
-10.82732551,A
-11.99280933,A
-3.727545618,A
-9.663763139,A
-16.92929516,A
0.432365381,A
2.154135704,A
-11.90062803,A
15.5931743,A
17.633746,A
-5.760774517,A
-17.06932425,A
4.948199777,A
11.21123234,A
-0.696397127,A
7.976250054,A
4.179586483,A
-7.134486048,A
6.554903989,A
8.517573297,A
-8.78621687,A
6.642082281,A
-5.965508228,A
-12.99426514,A
10.55134732,A
-0.150212369,A
3.511870862,A
-1.96438602,A
13.30478421,A
-7.597953799,A
-6.927716073,A
0.687136613,A
5.879483242,A
-16.65119695,A
-2.809713748,A
14.56933914,A
-9.128855694,A
6.359429934,A
-8.570888393,A
2.635459807,A
-9.317989759,A
-6.253218893,A
-20.38422361,A
-18.53072563,A
-7.669686582,A
1.873000763,A
3.42630774,A
0.388942825,A
-22.10888628,A
7.027921183,A
4.70306924,A
-6.152126924,A
-0.524341292,A
-2.807651757,A
2.074534864,A
21.92263937,A
-0.323837889,A
7.809682374,A
2.343699867,A
16.37477224,A
-7.577801173,A
-14.66849369,A
-1.782831196,A
13.89865939,A
-15.68535482,A
-14.33784018,A
5.475893704,A
2.062316138,A
1.807398897,A
-3.23107002,A
-23.2537174,A
-5.83898077,A
12.79331473,A
-0.542222848,A
8.604178141,A
3.974940394,A
-2.795114091,A
8.5014963,A
16.85005199,A
1.238333202,A
-6.81477257,A
20.94505877,A
-1.676282488,A
1.467246028,A
13.89164195,A
3.364583434,A
2.630881326,A
-9.270148121,A
0.516314502,A
1.720843892,A
-11.65697382,A
18.84212961,A
-10.26207073,A
1.858236212,A
6.800102171,A
9.42022023,A
-7.003567696,A
-8.467269278,A
-4.171653815,A
3.683854243,A
3.838102846,A
19.16759348,A
-10.23292932,A
-18.62907603,A
-16.96636317,A
12.38486038,A
-1.057272574,A
8.749442561,A
-4.594902093,A
8.395718388,A
5.230342295,A
-8.068615333,A
-8.621689532,A
-13.00168336,A
-12.29501558,A
-9.429979458,A
-4.940739689,A
5.952761836,A
2.516041855,A
8.619932077,A
-4.644817141,A
10.05259143,A
3.663902149,A
12.67766949,A
7.850741813,A
4.359058736,A
-10.69156762,A
0.75207637,A
-10.20082252,A
-11.94219421,A
16.45438696,A
12.95278828,A
-0.248694435,A
8.400774618,A
19.80514026,A
21.03914821,A
-7.396504532,A
4.075115817,A
11.06268554,A
13.91191784,A
6.353289475,A
4.78634576,A
2.85634396,A
-4.266066924,A
7.255443974,A
-6.719962855,A
-8.388081762,A
-11.02637754,A
-8.476180585,A
10.96866685,A
23.03828262,A
-6.022658273,A
18.80012736,A
5.710236832,A
-0.9322449,A
20.22677824,A
9.201029003,A
3.852341395,A
4.813136336,A
10.18419834,A
-14.39010108,A
-1.171587803,A
-17.04357639,A
-7.390405618,A
-2.99567968,A
-12.16707664,A
-13.34744493,A
17.20839983,A
21.35108128,A
14.48585616,A
8.048363184,A
-10.34578019,A
-11.93729661,A
-9.590373523,A
-14.18553334,A
-5.659209772,A
-1.846662478,A
1.347786963,A
-0.179769955,A
8.182928465,A
12.49431005,A
7.531450407,A
8.941161388,A
-11.71775597,A
26.97411585,A
-7.110851692,A
4.671228975,A
3.217812704,A
6.730040967,A
-7.393103802,A
8.19435062,A
-1.151595322,A
1.599677535,A
-13.16091641,A
4.042285788,A
5.465450872,A
9.298125364,A
16.21226366,A
-0.398498994,A
-8.40207107,A
9.231204641,A
-13.96712155,A
-7.197829745,A
0.333494542,A
-11.22778601,A
11.21420595,A
2.577437292,A
-7.481240409,A
-6.860810163,A
-13.07329011,A
5.342583651,A
5.833486067,A
